"Date","Record Number","Record Type","Module","Short Notes","Project Name","Status"
"07/02/2020","BB-202003463","Commercial New","Building",,"L & W SUPPLY (SALES TRAILER) (LC) (CO)","Complete",
"06/26/2020","BB-202003299","Commercial Misc. Structural","Building",,"PLAYGROUND (LC)","Issued",
"06/25/2020","BB-202003660","Commercial Alteration","Building",,"yAAAs! COOKIES, SUITE E (LC)","CO Issued",
"06/24/2020","BB-202003273","Commercial Alteration","Building",,"FIRST FLOOR DEMO (55 MARIETTA) (LC)","Issued",
"06/23/2020","BB-202003366","Commercial Alteration","Building",,"PANJWANI GROCERY STORE, UNIT 1 (LC) (C/O)","CO Issued",
"06/20/2020","BB-202003173","Commercial Addition","Building",,"Northside Baptist Church Pavillion (LC)","Issued",
"06/17/2020","BB-202003293","Multi Family Alteration","Building",,"251 NORTH APARTMENTS (LC)","Issued",
"06/16/2020","BB-202003182","Multi Family New","Building",,"The Parks Browns Mill UNIT 703","CO Issued",
"06/11/2020","BB-202002891","Commercial Addition","Building",,"MASJID SALAAM ADDITION  (SAP-19-171) (LC) (CO)","CO Issued",
"06/10/2020","BB-202002859","Multi Family New","Building",,"PARK AT MONROE - MANCHESTER - TOWNHOME BLDG 4, LOT 11 (AKA 2876 BARNETT CT NW) (LC) (CO)","CO Issued",
"06/09/2020","BB-202002814","Commercial Misc. Non-Structural","Building",,"MATTLE FREELAND PARK (LC)","Issued",
"06/06/2020","BB-202002722","Commercial Alteration","Building",,"ST. GERMAIN FRENCH BAKERY, SUITE 372 (LC) (CO)","CO Issued",
"06/05/2020","BB-202002790","Commercial Conversion","Building",,"1755 Lakewood Ave Conversion (LC)","CO Issued",
"06/04/2020","BB-202002683","Commercial Alteration","Building",,"PROMINENCE, SUITE 1150 (LC)","Complete",
"06/03/2020","BB-202002620","Commercial Alteration","Building",,"DKIM CAPITAL LLC, SUITE A (LC) (CO)","CO Issued",
"06/02/2020","BB-202002567","Multi Family New","Building",,"PARK AT MONROE - MANCHESTER TOWNHOME aka 2878 BARNETT CT (BLDG 4 LOT, UNIT 10) (LC) (CO)","CO Issued",
"05/29/2020","BB-202002486","Commercial New","Building",,"254 GEORGE STREET (TEMP OFFICE TRAILER) (LC) (CO)","Issued",
"05/27/2020","BB-202002434","Commercial Alteration","Building",,"SOUTHWEST VASCULAR CARE, SUITE 312 (LC) (CO)","CO Issued",
"05/22/2020","BB-202002757","Commercial New","Building",,"FITNESS CENTER FOR CONDO DEVELOPMENT (LC) (CO)","CO Issued",
"05/21/2020","BB-202002366","Commercial Alteration","Building",,"OLD 4TH WARD PIZZA (LC) (CO)","CO Issued",
"05/20/2020","BB-202002336","Commercial Alteration","Building",,"WHITEBOX, SUITE 100 (LC)","Complete",
"05/20/2020","BB-202002323","Multi Family New","Building",,"PORTLAND ROW, BLDG 3, LOT 9  (LC) (CO)","CO Issued",
"05/20/2020","BB-202002344","Commercial Alteration","Building",,"DECORATIVE CEILING ELEMENT (LC)","Issued",
"05/14/2020","PV-202000022","Residential - Solar PV","Building",,"DILONARDO-SOLAR-XPRS-- Unit B","Issued",
"05/14/2020","BB-202002915","Multi Family Alteration","Building",,"AKA 3088 Lenox","Complete",
"05/13/2020","BB-202002206","Multi Family New","Building",,"PORTLAND ROW, BLDG 1 LOT 1 (LC) (CO)","CO Issued",
"05/11/2020","BB-202002115","Multi Family New","Building",,"594 Irwin Street: Townhome Unit 1 (LC) (C/O)","CO Issued",
"05/11/2020","BB-202002114","Commercial New","Building",,"594 Irwin Street -- Office (LC)","Issued",
"05/07/2020","BB-202002064","Multi Family New","Building",,"PARK AT MONROE, UNIT 2 AKA 2859 REGAL PARK, BLDG 1(LC)","CO Issued",
"05/07/2020","BB-202002063","Multi Family New","Building",,"PARK AT MONROE, UNIT 1 (BUILDING 1) (LC) (CO)","CO Issued",
"05/04/2020","BB-202001997","Commercial Alteration","Building",,"AEROTROPOLIS NORTH SPECULATIVE OFFICE (LC)","CO Issued",
"03/12/2020","BB-202001784","Commercial Alteration","Building",,"ASSETS CONSTRUCTION, SUITE 210N (LC) (CO)","Issued",
"03/12/2020","BB-202001757","Commercial Conversion","Building",,"180 PEARL ST - PARTIAL CONVERSION (LC)","Issued",
"03/12/2020","BB-202001778","Commercial Alteration","Building",,"FOX BROTHERS BBQ AT THE WORKS (LC) (CO)","CO Issued",
"03/12/2020","BB-202001772","Commercial Alteration","Building",,"BASIK SPACES, SUITE 108  (LC) (CO)","CO Issued",
"03/10/2020","BB-202001703","Commercial Conversion","Building",,"7 Hospitality LLC  (BUILDING 11)","Issued",
"03/06/2020","BB-202001603","Commercial Alteration","Building",,"SNOOZE AM EATERY, UNIT 1 (WEST MIDTOWN) (LC) (CO)","CO Issued",
"03/06/2020","BB-202001585","Multi Family New","Building",,"THE PARKS AT BROWNS MILL BLDG 4 , UNIT 401 (LC) (CO)","CO Issued",
"03/05/2020","BB-202001562","Commercial Alteration","Building",,"ACKERMAN WHITE & LEE LEASING OFFICE (LC)","Issued",
"03/02/2020","BB-202001424","Commercial Alteration","Building",,"DIGITAL - 2ND FLR PDU (LC)","Issued",
"02/26/2020","BB-202001327","Multi Family New","Building",,"OLIVER STREET TOWNHOME BLDG. 6 LOT 30 (LC) (CO)","CO Issued",
"02/26/2020","BB-202001326","Multi Family New","Building",,"OLIVER STREET TOWNHOME BLDG. 6 LOT 29 (LC) (CO)","CO Issued",
"02/26/2020","BB-202001325","Multi Family New","Building",,"OLIVER STREET TOWNHOME BLDG. 6 LOT 28 (LC) (CO)","CO Issued",
"02/26/2020","BB-202001355","Commercial Alteration","Building",,"WHITE BOX, SUITE 300  (LC)","Issued",
"02/12/2020","BB-202000960","Commercial Alteration","Building",,"(Active 90-day Ext - Expires: July 1, 2023) ATLANTA ORTHOPEDIC INSTITUTE, SUITE 410 (LC) (CO)","Expired",
"02/12/2020","BB-202000954","Commercial Alteration","Building",,"Ding Tea suite 900","CO Issued",
"02/12/2020","BB-202000952","Commercial Alteration","Building",,"HOW CRISPY EXPRESS, SUITE B (LC) (CO)","CO Issued",
"02/11/2020","BB-202000924","Commercial Addition","Building",,"BEREAN SDA CHURCH ELEVATOR ADDITION  (LC)","No CO Required",
"02/10/2020","BB-202000884","Commercial Alteration","Building",,"NANCYS PIZZERIA BAR INSTALLATION (LC)","Complete",
"02/04/2020","BB-202000759","Multi Family New","Building",,"MAY AVE.TOWNHOMES BLDG 4 (5 UNITS) UNIT #16  (LC) (CO)","CO Issued",
"02/04/2020","BB-202000786","Commercial Alteration","Building",,"FLOWER CHILD (BLDG C) (LC) (CO)","Issued",
"01/31/2020","BB-202000667","Multi Family New","Building",,"WEST HIGHLAND TOWNHOME BLDG 7 UNIT 668 (LC) (CO)","CO Issued",
"01/31/2020","BB-202000666","Multi Family New","Building",,"WEST HIGHLAND TOWNHOME BLDG 7 UNIT 667 (LC) (CO)","CO Issued",
"01/31/2020","BB-202000665","Multi Family New","Building",,"WEST HIGHLAND TOWNHOME BLDG 7 UNIT 666 (LC) (CO)","CO Issued",
"01/31/2020","BB-202000664","Multi Family New","Building",,"WEST HIGHLAND TOWNHOME BLDG 7 UNIT 665 (LC) (CO)","CO Issued",
"01/31/2020","BB-202000662","Multi Family New","Building",,"WEST HIGHLAND TOWNHOME BLDG 7 UNIT 663 (LC) (CO)","CO Issued",
"01/31/2020","BB-202000661","Multi Family New","Building",,"WEST HIGHLAND TOWNHOME BLDG 7 UNIT 662 (LC) (CO)","CO Issued",
"01/31/2020","BB-202000688","Commercial Alteration","Building",,"MAPLE STREET BISCUIT COMPANY, STORE 405 (LC)(CO)","CO Issued",
"01/29/2020","BB-202000577","Multi Family New","Building",,"MAY AVE.TOWNHOMES BLDG 3 (5 UNITS) UNIT #11 (LC) (CO)","CO Issued",
"01/28/2020","BB-202000576","Commercial Alteration","Building",,"NAGOMIYA, SUITE 400 (LC) (CO)","CO Issued",
"01/27/2020","BB-202001560","Multi Family Repair","Building",,"956 CONFEDERATE CT. (UNIT 960 B)  (LC)","Issued",
"01/24/2020","BB-202000486","Multi Family New","Building",,"MAY AVE.TOWNHOMES BLDG 2 (5 UNITS) UNIT #6 (LC) (CO)","CO Issued",
"01/22/2020","BB-202000450","Commercial Alteration","Building",,"AZN SANWICH BAR (LC) (CO)","CO Issued",
"01/21/2020","BB-202000401","Multi Family New","Building",,"BROADVIEW PLACE, LOT 100 (LC) (CO)","CO Issued",
"01/15/2020","BB-202000302","Commercial Alteration","Building",,"PROSE NAIL SALON, SUITE 2  (LC) (CO)","CO Issued",
"01/13/2020","BB-202000211","Multi Family New","Building",,"MAY AVE.TOWNHOMES BLDG 1 (5 UNITS) UNIT #3 (LC) (CO)","CO Issued",
"01/13/2020","BB-202000210","Multi Family New","Building",,"MAY AVE.TOWNHOMES BLDG 1 (5 UNITS) UNIT #2 (LC) (CO)","CO Issued",
"01/13/2020","BB-202000212","Multi Family New","Building",,"MAY AVE.TOWNHOMES BLDG 1 (5 UNITS) UNIT #4 (LC) (CO)","CO Issued",
"01/10/2020","BB-202000181","Commercial Misc. Non-Structural","Building",,"PUBLIC STORAGE #27808 (SANITARY SEWER CONNECTION) (LC)","Issued",
"01/02/2020","BB-202000013","Commercial Alteration","Building",,"JENI'S SPLENDID ICE CREAM, #14 SUITE H (LC) (CO)","CO Issued",
"12/31/2019","BB-201910054","Commercial Alteration","Building",,"SCAD MEDIA CENTER EXPANSION (LC) (CO)","CO Issued",
"12/30/2019","BB-201910037","Commercial Alteration","Building",,"WARREN MEMORIAL UNITED METHODIST CHURCH (LC) (CC)","Closed",
"12/26/2019","BB-201909959","Commercial Alteration","Building",,"EMBR ULTRA LOUNGE (LC) (CO)","CO Issued",
"12/19/2019","BB-201909817","Commercial Alteration","Building",,"TABLA","CO Issued",
"12/19/2019","BB-201909834","Commercial Misc. Non-Structural","Building",,"PHIPPS PLAZA UTILITY UPGRADES, SUITE 1095D (LC)","Issued",
"12/06/2019","BB-201909499","Commercial Misc. Structural","Building",,"9 MILE STATION CANOPY (LC)","Complete",
"11/26/2019","BB-201909305","Commercial Conversion","Building",,"JERSEY MIKE SUBS, F100  (LC) (CO)","CO Issued",
"11/18/2019","BB-201909062","Commercial Conversion","Building",,"OLE'G TACOS AND TEQUILA (LC) (CO)","Expired",
"11/15/2019","BB-201909017","Multi Family New","Building",,"1314 DUPLEX (LC)","Expired",
"11/15/2019","BB-201909018","Multi Family New","Building",,"1318 DUPLEX (LC)","Issued",
"09/25/2019","BB-201907475","Commercial Alteration","Building",,"WAFFLE HOUSE, # 1172 (LC)","Issued",
"08/30/2019","BB-201906817","Commercial Alteration","Building",,"1800 JONESBORO RD. (OFFICE BUILDING FLOOR) (LC)","Complete",
"08/21/2019","BB-201906533","Multi Family New","Building",,"COLLIER HILLS (LOT 52) aka 2049 BELLRICK RD(LC) (C/O)","CO Issued",
"08/21/2019","BB-201906531","Multi Family New","Building",,"COLLIER HILLS (LOT 54) aka 2041 BELLRICK RD (LC) (C/O)","CO Issued",
"08/21/2019","BB-201906532","Multi Family New","Building",,"COLLIER HILLS (LOT 53) aka 2045 BELLRICK RD (LC) (C/O)","CO Issued",
"07/30/2019","BB-201906409","Commercial Conversion","Building",,"I CARE CHILD DEVELOPMENT CENTER (CO) (LC)","Issued",
"06/19/2019","BB-201905009","Multi Family New","Building",,"EMERSON ON KROG, UNIT 17- PHASE II (LC) (CO)","CO Issued",
"05/02/2019","BB-201903251","Commercial Alteration","Building",,"REDACTED BASEMENT DRINK PARLOR  SUITE 63-B (LC) (CO)","Issued",
"04/26/2019","BB-201903057","Commercial Alteration","Building",,"EDGEWOOD PIZZA WEST END (LC) (C/O)","CO Issued",
"04/18/2019","BB-201902807","Multi Family New","Building",,"WESTSIDE STATION / ELLSWORTH IV, LOT 167 (LC) (CO)","Issued",
"03/26/2019","BB-201902182","Residential Alteration","Building",,"BUCKHEAD GRAND UNIT 1810 - ALTERATIONS - XPRS","Issued",
"10/25/2018","BB-201808501","Multi Family New","Building",,"456 Parkway Dr - Bldg 2 / Unit 7 (LC)(CO)","CO Issued",
"10/25/2018","BB-201808500","Multi Family New","Building",,"456 Parkway Dr - Bldg 2 / Unit 6 (LC)(CO)","CO Issued",
"10/25/2018","BB-201808499","Multi Family New","Building",,"456 Parkway Dr - Bldg 2 / Unit 5 (LC)(CO)","CO Issued",
"10/25/2018","BB-201808503","Multi Family New","Building",,"456 Parkway Dr - Bldg 2 / Unit 9 (LC)(CO)","CO Issued",
"10/25/2018","BB-201808507","Multi Family New","Building",,"456 Parkway Dr - Bldg 3 / Unit 12 (LC)(CO)","CO Issued",
"10/22/2018","BB-201808351","Multi Family New","Building",,"CHELSEA WESTSIDE, UNIT 69 aka 1293 CHELSEA CIRCLE NW (LC) (CO)","CO Issued",
"10/15/2018","BB-201808095","Multi Family New","Building",,"CHELSEA WESTSIDE, UNIT 56 (aka 1290 CHELSEA CIRCLE NW) (LC) (CO)","CO Issued",
"06/25/2018","BB-201804911","Multi Family New","Building",,"525 PARKWAY APARTMENTS","CO Issued",
"03/19/2018","BB-201801899","Multi Family New","Building",,"542 BOULEVARD APARTMENTS","CO Issued",
"05/09/2017","BB-201703436","Commercial Addition","Building",,"MIXX ATLANTA, SUITE B (LC)","Issued",
"06/19/2013","BB-201303297","Single Family/Duplex Alteration","Building",,"DORMERS (RAAC)","Issued",
"04/01/2011","BB-201101389","Single Family/Duplex Alteration","Building",,"RESIDENTIAL ROOF REPAIR","Issued",
"11/30/2009","BB-200904918","Building Historical Permit","Building",,"AMER MART BLDG 1 STE-13-E-5,7,9 G-2,4,6",,
"11/24/2009","BB-200904869","Building Historical Permit","Building",,"AMER MART BLDG 2 SUITE 1219 A-B, 1217 B",,
"11/24/2009","BB-200904870","Building Historical Permit","Building",,"AMM 3 SUITE 11 N104B-310B",,
"11/23/2009","BLC3-200902007","Building Historical Permit","Building",,"AMER MART BLDG 1 STE-13-E-5,7,9 G-2,4,6","APPR",
"11/19/2009","BLC3-200901974","Building/Historical/NA/NA","Building",,"AMM 3 SUITE 11 N104B-310B","APPR",
"11/17/2009","BCO-200902624","Building/Historical/NA/NA","Building",,"MART BLDG 1 STE, 14-A-3","Converted",
"11/17/2009","BLC3-200901961","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 SUITE 1219 A-B, 1217 B","APPR",
"11/16/2009","BB-200904703","Building Historical Permit","Building",,"AMER MART BLDG 2 -815A-B, 817A-B, 819A-B",,
"11/16/2009","BB-200904702","Building Historical Permit","Building",,"AMER MART BLDG 2 SUITE 1801-03-41",,
"11/16/2009","BB-200904701","Building Historical Permit","Building",,"AMERICAMART BLDG 2 -1401A-B,1403A-B,1405",,
"11/10/2009","BLC3-200901924","Building Historical Permit","Building",,"MART 2 SUITE 815A-B 817A-B 819A-B",,
"11/04/2009","BB-200904531","Building Historical Permit","Building",,"AMERICASMART BLDG2, SUITE 1117A, B-19 / AMERICA'S MART 2",,
"11/04/2009","BB-200904530","Building Historical Permit","Building",,"AMERICASMART BLDG2, SUITE 716A, 760A / AMERICA'S MART 2",,
"11/04/2009","BB-200904529","Building Historical Permit","Building",,"AMERICASMART BLDG1 STE14-D-7 THRU 13 / AMERICA'S MART 1",,
"11/04/2009","BB-200904528","Building Historical Permit","Building",,"MART BLDG 1 STE, 14-A-3",,
"11/02/2009","BLC3-200901849","Building/Historical/NA/NA","Building",,"AMERICASMART BLDG2, SUITE 716A, 760A / AMERICA'S MART 2","APPR",
"10/27/2009","BLC3-200901820","Building/Historical/NA/NA","Building",,"MART BLDG 1 STE, 14-A-3","APPR",
"10/23/2009","BLC3-200901797","Building/Historical/NA/NA","Building",,"AMERICASMART BLDG1 STE14-D-7 THRU 13 / AMERICA'S MART 1","APPR",
"10/20/2009","BB-200904308","Building Historical Permit","Building",,"AMM BLDG2 SUITE 1715-A-B",,
"10/15/2009","BLC3-200901748","Building/Historical/NA/NA","Building",,"AMM BLDG2 SUITE 1715-A-B","APPR",
"10/12/2009","BB-200904154","Building Historical Permit","Building",,"AMERICASMART, BLDG 2, SUITE 830B - 861A / AMERICA'S MART 2",,
"10/09/2009","BLC3-200901719","Building Historical Permit","Building",,"MART BLDG 2 - SUITE 830B-861A",,
"10/08/2009","BLC3-200901717","Building/Historical/NA/NA","Building",,"AMERICASMART, BLDG 2, SUITE 830B - 861A / AMERICA'S MART 2","APPR",
"10/06/2009","BB-200904025","Building Historical Permit","Building",,"AMER MART BLDG 3 STE 6-E-321",,
"10/06/2009","BB-200904024","Building Historical Permit","Building",,"AMERICASMART BLDG 1, SUITE 18A15, 17-19 / AMERICA'S MART 1",,
"10/06/2009","BB-200904034","Building Historical Permit","Building",,"AMERICAS MART 1 - SUITE 17D214/E6-18",,
"10/06/2009","BB-200904026","Building Historical Permit","Building",,"AMERICAS MART 2 - SUITE 738B",,
"10/06/2009","BB-200904028","Building Historical Permit","Building",,"AMERICASMART BLDG1 STE 13B5 / AMERICA'S MART 1",,
"10/06/2009","BB-200904031","Building Historical Permit","Building",,"MART BLDG 1 -SUITE 16C9-11-13-15-17-D1-3",,
"10/06/2009","BB-200904030","Building Historical Permit","Building",,"AMM BLDG 2, SUITE 662B",,
"10/05/2009","BLC3-200901688","Building/Historical/NA/NA","Building",,"AMERICASMART BLDG 1, SUITE 18A15, 17-19 / AMERICA'S MART 1","APPR",
"09/29/2009","BLC3-200901643","Building Historical Permit","Building",,"AMER MART BLDG 3 STE 6-E-321",,
"09/28/2009","BLC3-200901627","Building/Historical/NA/NA","Building",,"AMERICASMART BLDG1 STE 13B5 / AMERICA'S MART 1","APPR",
"09/24/2009","BLC3-200901601","Building/Historical/NA/NA","Building",,"MART BLDG 1 -SUITE 16C9-11-13-15-17-D1-3","APPR",
"09/24/2009","BLC3-200901611","Building/Historical/NA/NA","Building",,"AMERICAS MART 2 - SUITE 738B","APPR",
"09/23/2009","BLC3-200901584","Building/Historical/NA/NA","Building",,"AMERICAS MART 1 - SUITE 17D214/E6-18","APPR",
"08/17/2009","BCO-200901969","Building/Historical/NA/NA","Building",,"AMERICAMART BLDG 1, STE 14-D-7, ,11,13 / AMERICA'S MART 1","Converted",
"08/14/2009","BCO-200901935","Building/Historical/NA/NA","Building",,"AMERICASMART SUITE 14-C-11","Converted",
"08/14/2009","BCO-200901936","Building/Historical/NA/NA","Building",,"AMERICAS MART - 14-A 9","Converted",
"08/14/2009","BCO-200901934","Building/Historical/NA/NA","Building",,"MART BLD1 SUITE 14-D-16-24, E16-24","Converted",
"08/14/2009","BCO-200901933","Building/Historical/NA/NA","Building",,"MART BLD 1 STE 14-D-1-8, F-2A, 2B, 4, 6","Converted",
"08/14/2009","BCO-200901926","Building/Historical/NA/NA","Building",,"MART BLDG 1 SUITE 14-C-9","Converted",
"08/14/2009","BCO-200901927","Building/Historical/NA/NA","Building",,"AMERICASMART, BLDG1, SPACE 14-A-11 , 13 / AMERICA'S MART 1","Converted",
"08/14/2009","BCO-200901925","Building/Historical/NA/NA","Building",,"AMERICASMART BLDG 1, SUITE 14-D-9, 11, 1 / AMERICA'S MART 1","VOID",
"08/14/2009","BCO-200901930","Building/Historical/NA/NA","Building",,"AMERICAS MART BLDG 1 SPACE 14-C-2 / AMERICA'S MART 1","Converted",
"08/14/2009","BCO-200901932","Building/Historical/NA/NA","Building",,"MART BLDG 1 SUITE 14-E-19","Converted",
"08/14/2009","BCO-200901928","Building/Historical/NA/NA","Building",,"AMM-STE. 14-A-12","Converted",
"08/14/2009","BCO-200901929","Building/Historical/NA/NA","Building",,"AMM BLDG. ONE- SUITE.14-F-5","Converted",
"08/10/2009","BB-200903109","Building Historical Permit","Building",,"AMER MART BLDG 3 SUTE 9-S-116 & 342",,
"08/04/2009","BLC3-200901268","Building/Historical/NA/NA","Building",,"AMER MART BLDG 3 SUTE 9-S-116 & 342","APPR",
"06/30/2009","BB-200902530","Building Historical Permit","Building",,"AMERICASMART SUITE 14-C-11",,
"06/30/2009","BB-200902529","Building Historical Permit","Building",,"AMM- BLDG1 STUITE 11E11,13,G8,10",,
"06/25/2009","BLC3-200901050","Building/Historical/NA/NA","Building",,"AMM- BLDG1 STUITE 11E11,13,G8,10","APPR",
"06/25/2009","BB-200902467","Building Historical Permit","Building",,"AMERICAS MART - 14-A 9",,
"06/22/2009","BLC3-200901021","Building/Historical/NA/NA","Building",,"AMERICASMART SUITE 14-C-11","APPR",
"06/22/2009","BB-200902382","Building Historical Permit","Building",,"AMERICASMART, BLDG1, SPACE 14-A-11 , 13 / AMERICA'S MART 1",,
"06/18/2009","BLC3-200901019","Building/Historical/NA/NA","Building",,"AMERICAS MART - 14-A 9","APPR",
"06/16/2009","BB-200902289","Building Historical Permit","Building",,"AMM-STE. 14-A-12",,
"06/15/2009","BB-200902267","Building Historical Permit","Building",,"AMERICAS MART 1, STE 13-D, 7-E & 3-A / AMERICA'S MART 1",,
"06/15/2009","BB-200902266","Building Historical Permit","Building",,"AMERICAS MART BLDG 1 SPACE 14-C-2 / AMERICA'S MART 1",,
"06/15/2009","BLC3-200900982","Building/Historical/NA/NA","Building",,"AMERICASMART, BLDG1, SPACE 14-A-11 , 13 / AMERICA'S MART 1","APPR",
"06/15/2009","BLC3-200900981","Building/Historical/NA/NA","Building",,"AMM BLDG ONE/SPACE 14A-12","Converted",
"06/09/2009","BLC3-200900942","Building/Historical/NA/NA","Building",,"AMERICAS MART 1, STE 13-D, 7-E & 3-A / AMERICA'S MART 1","APPR",
"06/09/2009","BLC3-200900933","Building Historical Permit","Building",,"AMERICAS MART BLDG 1 SPACE 14-C-2 / AMERICA'S MART 1",,
"06/08/2009","BLC3-200900915","Building/Historical/NA/NA","Building",,"AMM-STE. 14-A-12","APPR",
"06/03/2009","BB-200902097","Building Historical Permit","Building",,"AMERICAMART BLDG 1, STE 14-D-7, ,11,13 / AMERICA'S MART 1",,
"05/28/2009","BB-200902009","Building Historical Permit","Building",,"AMERICASMART BLDG 2, SUITE 915B / AMERICA'S MART 2",,
"05/28/2009","BB-200902008","Building Historical Permit","Building",,"AMM BLDG2 SUITE 1023A",,
"05/28/2009","BLC3-200900846","Building/Historical/NA/NA","Building",,"AMERICAMART BLDG 1, STE 14-D-7,9, 11, 13 / AMERICA'S MART 1","APPR",
"05/21/2009","BLC3-200900816","Building/Historical/NA/NA","Building",,"AMM BLDG2 SUITE 1023A","APPR",
"05/21/2009","BLC3-200900822","Building Historical Permit","Building",,"MART 2 - COMPTOIR DE FAMILLE 915 B",,
"05/20/2009","BB-200901889","Building Historical Permit","Building",,"AMM 1 STE 18C5-7",,
"05/20/2009","BB-200901888","Building Historical Permit","Building",,"AMER MART BLDG2, STE 1501 AB, 1503A / AMERICA'S MART 2",,
"05/18/2009","BLC3-200900776","Building/Historical/NA/NA","Building",,"AMER MART BLDG2, STE 1501 AB, 1503A / AMERICA'S MART 2","APPR",
"05/13/2009","BLC3-200900756","Building/Historical/NA/NA","Building",,"AMM 1 STE 18C5-7","APPR",
"05/07/2009","BB-200901682","Building Historical Permit","Building",,"AMM BLDG. ONE- SUITE.14-F-5",,
"05/04/2009","BLC3-200900695","Building/Historical/NA/NA","Building",,"AMM BLDG. ONE- SUITE.14-F-5","APPR",
"04/29/2009","BB-200901548","Building Historical Permit","Building",,"MART BLDG 2 SUITE 1733",,
"04/23/2009","BB-200901476","Building Historical Permit","Building",,"MART BLDG 1 SUITE 14-C-9",,
"04/22/2009","BLC3-200900635","Building Historical Permit","Building",,"MART BLDG 2 SUITE 1733",,
"04/21/2009","BLC3-200900617","Building/Historical/NA/NA","Building",,"MART BLDG 1 SUITE 14-C-9","APPR",
"04/13/2009","BB-200901291","Building Historical Permit","Building",,"THE BRADBURN GALLERY - PAINT BOOTH",,
"03/19/2009","BLC3-200900442","Building/Historical/NA/NA","Building",,"THE BRADBURN GALLERY - PAINT BOOTH","APPR",
"03/19/2009","BCO-200900545","Building/Historical/NA/NA","Building",,"AMM-WEST TWO WEST SUITE 694A","Converted",
"03/16/2009","BB-200900895","Building/Historical/NA/NA","Building",,"MART BLD 1 STE 14-D-1-8, F-2A, 2B, 4, 6","Converted",
"03/16/2009","BB-200900896","Building/Historical/NA/NA","Building",,"MART BLDG 2, SUITE 1216B/ 1218A","Converted",
"03/16/2009","BB-200900892","Building/Historical/NA/NA","Building",,"MART BLDG 1 SUITE 14-E-19","Converted",
"03/16/2009","BB-200900894","Building/Historical/NA/NA","Building",,"MART BLD1 SUITE 14-D-16-24, E16-24","Converted",
"03/12/2009","BB-200900855","Building/Historical/NA/NA","Building",,"AMM-WEST TWO WEST SUITE 694A","Converted",
"03/10/2009","BLC3-200900376","Building/Historical/NA/NA","Building",,"MART BLD 1 STE 14-D-1-8, F-2A, 2B, 4, 6","Converted",
"03/10/2009","BLC3-200900373","Building/Historical/NA/NA","Building",,"MART BLD1 SUITE 14-D-16-24, E16-24","APPR",
"03/10/2009","BLC3-200900375","Building/Historical/NA/NA","Building",,"MART BLDG 2, SUITE 1216B/ 1218A","APPR",
"03/10/2009","BLC3-200900374","Building/Historical/NA/NA","Building",,"MART BLDG 1 SUITE 14-E-19","APPR",
"03/04/2009","BLC3-200900319","Building/Historical/NA/NA","Building",,"AMM-WEST TWO WEST SUITE 694A","APPR",
"01/07/2009","BB-200900030","Building/Historical/NA/NA","Building",,"AMERICAS MART BLDG 2, STE 1536, A & B","Converted",
"12/29/2008","BLC3-200802878","Building/Historical/NA/NA","Building",,"AMERICAS MART BLDG 2, STE 1536, A & B","APPR",
"12/18/2008","BCO-200804087","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 WEST 684 B","Converted",
"12/09/2008","BB-200806463","Building/Historical/NA/NA","Building",,"MART 2 WEST - WING 765A","Converted",
"12/09/2008","BB-200806462","Building/Historical/NA/NA","Building",,"MART 2 - SUITE 669A - 677B","Converted",
"12/09/2008","BB-200806461","Building/Historical/NA/NA","Building",,"MART 2 - SPEC SPACE","Converted",
"12/09/2008","BB-200806460","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACE 899 A","Converted",
"12/09/2008","BB-200806459","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACE 879C","Converted",
"12/09/2008","BB-200806458","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACE 869B","Converted",
"12/09/2008","BB-200806457","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACES 9 B, 49, 51","Converted",
"12/09/2008","BB-200806454","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACE 897 A","Converted",
"12/09/2008","BB-200806456","Building/Historical/NA/NA","Building",,"MART 2 WEST WING - SUITE 771B","Converted",
"12/09/2008","BB-200806453","Building/Historical/NA/NA","Building",,"MART 2 WEST WING - SUITE 865A & B","Converted",
"12/09/2008","BB-200806455","Building/Historical/NA/NA","Building",,"MART 2 WEST - SUITES 772, 774, 788, 790","Converted",
"12/09/2008","BB-200806450","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACE 889 A","Converted",
"12/09/2008","BB-200806447","Building/Historical/NA/NA","Building",,"AMER MART BLDG 2 W SPACE 887 A","Converted",
"12/05/2008","BLC3-200802720","Building/Historical/NA/NA","Building",,"MART 2 - SUITE 669A - 677B","APPR",
"12/05/2008","BLC3-200802724","Building/Historical/NA/NA","Building",,"MART 2 WEST WING - SUITE 771B","Converted",
"12/05/2008","BLC3-200802723","Building/Historical/NA/NA","Building",,"MART 2 WEST - SUITES 772, 774, 788, 790","Converted",
"12/05/2008","BLC3-200802722","Building/Historical/NA/NA","Building",,"MART 2 WEST WING - SUITE 865A & B","Converted",
"12/05/2008","BLC3-200802721","Building/Historical/NA/NA","Building",,"MART 2 WEST - WING 765A","Converted",
